,x,y,z,global,local
51,0.752048,0.610215,-0.325003,34,51
52,0.614848,0.459997,-0.679449,34,52
53,0.657758,0.439357,-0.649225,34,53
54,0.628854,0.726988,-0.343193,34,54
55,0.621263,0.724999,-0.355265,34,55
56,0.602578,0.70368,-0.404563,34,56
57,0.598247,0.699838,-0.414678,34,57
58,0.668782,0.474685,-0.593013,34,58
59,0.666126,0.468797,-0.603429,34,59
0,-0.645832,-0.450226,0.620643,48,0
1,-0.645977,-0.449528,0.621095,48,1
2,-0.579647,-0.529485,0.623423,48,2
3,-0.55827,-0.537703,0.639492,48,3
4,-0.700265,-0.415634,0.591653,48,4
5,-0.752841,-0.382222,0.563652,48,5
6,-0.656291,-0.545037,0.526514,48,6
7,-0.65962,-0.550384,0.518227,48,7
8,-0.537807,-0.586338,0.619288,48,8
9,-0.484996,-0.658101,0.614069,48,9
10,-0.682637,-0.577531,0.469505,48,10
11,-0.72444,-0.629089,0.379051,48,11
12,-0.620425,-0.416735,0.677501,48,12
13,-0.615645,-0.410434,0.688197,48,13
14,-0.753998,-0.396672,0.549782,48,14
15,-0.813008,-0.375848,0.503798,48,15
16,-0.492441,-0.581011,0.673265,48,16
17,-0.455688,-0.576695,0.716992,48,17
18,-0.71631,-0.601376,0.41208,48,18
19,-0.748759,-0.624354,0.356742,48,19
20,-0.517175,-0.646789,0.588956,48,20
21,-0.497326,-0.704945,0.559775,48,21
22,-0.574137,-0.413279,0.730844,48,22
23,-0.540743,-0.410786,0.76933,48,23
24,-0.808588,-0.370667,0.513126,48,24
25,-0.825887,-0.362427,0.50151,48,25
26,-0.52808,-0.466829,0.73418,48,26
27,-0.515148,-0.481864,0.735117,48,27
28,-0.833946,-0.309806,0.538678,48,28
29,-0.83528,-0.306604,0.540022,48,29
30,-0.549169,-0.672764,0.531496,48,30
31,-0.562202,-0.683345,0.50809,48,31
32,-0.603668,-0.638825,0.501865,48,32
33,-0.611716,-0.633813,0.497489,48,33
34,-0.709755,-0.358059,0.63159,48,34
35,-0.720494,-0.292907,0.676783,48,35
36,-0.79283,-0.430169,0.478323,48,36
37,-0.787126,-0.451705,0.465726,48,37
38,-0.463641,-0.686572,0.612437,48,38
39,-0.415635,-0.722246,0.633494,48,39
40,-0.70969,-0.504715,0.50365,48,40
41,-0.717302,-0.498967,0.500391,48,41
42,-0.754604,-0.542708,0.421652,48,42
43,-0.756566,-0.539704,0.422143,48,43
44,-0.540945,-0.388815,0.788288,48,44
45,-0.516751,-0.370984,0.830158,48,45
46,-0.633439,-0.667481,0.444484,48,46
47,-0.64541,-0.679004,0.421409,48,47
48,-0.468148,-0.546365,0.729918,48,48
49,-0.46238,-0.538139,0.743369,48,49
50,-0.619993,-0.359534,0.7279,48,50
51,-0.621765,-0.357456,0.727786,48,51
52,-0.434446,-0.657247,0.669776,48,52
53,-0.431717,-0.654506,0.675136,48,53
0,0.535426,-0.522538,0.667288,25,0
1,0.468753,-0.457066,0.788253,25,1
2,0.479052,-0.535209,0.708049,25,2
3,0.35474,-0.563149,0.797931,25,3
4,0.607549,-0.570826,0.556814,25,4
5,0.685171,-0.604675,0.454304,25,5
6,0.611553,-0.498942,0.618109,25,6
7,0.703418,-0.389634,0.631864,25,7
8,0.656993,-0.575807,0.50651,25,8
9,0.696107,-0.579747,0.466717,25,9
10,0.45729,-0.59389,0.675141,25,10
11,0.439429,-0.642052,0.648132,25,11
12,0.577279,-0.629593,0.53171,25,12
13,0.555662,-0.67156,0.513782,25,13
14,0.524436,-0.676065,0.538633,25,14
15,0.424855,-0.763641,0.55168,25,15
16,0.425343,-0.539595,0.753832,25,16
17,0.403692,-0.541363,0.772289,25,17
18,0.709866,-0.573506,0.459615,25,18
19,0.764968,-0.571108,0.410743,25,19
20,0.666573,-0.456289,0.605716,25,20
21,0.722808,-0.412694,0.593049,25,21
22,0.752219,-0.517961,0.470613,25,22
23,0.783059,-0.477514,0.478622,25,23
24,0.475757,-0.727337,0.537359,25,24
25,0.464337,-0.739365,0.53706,25,25
26,0.547325,-0.71375,0.483353,25,26
27,0.557016,-0.729704,0.459949,25,27
28,0.642242,-0.419844,0.661211,25,28
29,0.615492,-0.379774,0.722225,25,29
30,0.504866,-0.476292,0.737416,25,30
31,0.508307,-0.468439,0.74133,25,31
32,0.603164,-0.398942,0.716311,25,32
33,0.585322,-0.389399,0.741467,25,33
34,0.714366,-0.404251,0.608504,25,34
35,0.73785,-0.378681,0.609874,25,35
36,0.406107,-0.64256,0.678539,25,36
37,0.365688,-0.680993,0.681223,25,37
38,0.403117,-0.501354,0.809001,25,38
39,0.402306,-0.499957,0.811016,25,39
40,0.626285,-0.340145,0.748064,25,40
41,0.629734,-0.331375,0.7528,25,41
42,0.417479,-0.753702,0.5675,25,42
43,0.396139,-0.763356,0.578536,25,43
44,0.438641,-0.671082,0.622611,25,44
45,0.444968,-0.676628,0.611734,25,45
46,0.483513,-0.775743,0.486401,25,46
47,0.487474,-0.800464,0.460376,25,47
48,0.47833,-0.441824,0.793164,25,48
49,0.475923,-0.438698,0.798221,25,49
50,0.752582,-0.589502,0.405583,25,50
51,0.755904,-0.590747,0.401379,25,51
52,0.707384,-0.3554,0.659148,25,52
53,0.706653,-0.350287,0.664448,25,53
54,0.358241,-0.555496,0.801609,25,54
55,0.337353,-0.580697,0.798169,25,55
56,0.381478,-0.707648,0.642493,25,56
57,0.377291,-0.710327,0.643949,25,57
58,0.370503,-0.617444,0.734231,25,58
59,0.366001,-0.614269,0.741273,25,59
60,0.680608,-0.632347,0.433506,25,60
61,0.663844,-0.666062,0.418547,25,61
62,0.428266,-0.817903,0.49945,25,62
63,0.422894,-0.822003,0.500719,25,63
0,-0.747173,-0.557227,0.369094,17,0
1,-0.690295,-0.520237,0.583087,17,1
2,-0.722486,-0.625289,0.30336,17,2
3,-0.637481,-0.737847,0.306691,17,3
4,-0.804193,-0.51086,0.311922,17,4
5,-0.852373,-0.439377,0.324528,17,5
6,-0.740237,-0.531765,0.434696,17,6
7,-0.72548,-0.477592,0.574271,17,7
8,-0.695617,-0.572005,0.471976,17,8
9,-0.664943,-0.599667,0.497603,17,9
10,-0.715118,-0.665716,0.245815,17,10
11,-0.70321,-0.731058,0.152804,17,11
12,-0.840354,-0.45277,0.329755,17,12
13,-0.896069,-0.363267,0.35723,17,13
14,-0.836045,-0.501099,0.24955,17,14
15,-0.890748,-0.484337,0.142432,17,15
16,-0.671902,-0.700648,0.289542,17,16
17,-0.638521,-0.727631,0.323318,17,17
18,-0.747741,-0.654583,0.184075,17,18
19,-0.827688,-0.627302,0.032773,17,19
20,-0.692594,-0.718151,0.204064,17,20
21,-0.68193,-0.742976,0.184297,17,21
22,-0.638115,-0.713905,0.350228,17,22
23,-0.618475,-0.721612,0.385504,17,23
24,-0.785668,-0.481863,0.413581,17,24
25,-0.793443,-0.473321,0.409967,17,25
26,-0.692489,-0.542237,0.536039,17,26
27,-0.692426,-0.541636,0.537332,17,27
28,-0.628912,-0.69112,0.416531,17,28
29,-0.628759,-0.690742,0.417631,17,29
30,-0.860063,-0.402217,0.375097,17,30
31,-0.871695,-0.37238,0.401859,17,31
32,-0.825254,-0.544612,0.194867,17,32
33,-0.823655,-0.551062,0.186761,17,33
34,-0.884225,-0.415585,0.288613,17,34
35,-0.956902,-0.353986,0.220458,17,35
36,-0.775285,-0.652051,0.118999,17,36
37,-0.828807,-0.647129,-0.007452,17,37
38,-0.772545,-0.600765,0.222654,17,38
39,-0.774821,-0.595828,0.226193,17,39
40,-0.869882,-0.491196,0.182413,17,40
41,-0.874421,-0.485763,0.181146,17,41
42,-0.907438,-0.433043,0.196828,17,42
43,-0.909718,-0.429512,0.197703,17,43
44,-0.928367,-0.361125,0.279361,17,44
45,-0.948301,-0.336532,0.275182,17,45
46,-0.824443,-0.418971,0.433839,17,46
47,-0.822451,-0.419907,0.437123,17,47
48,-0.769581,-0.467755,0.480977,17,48
49,-0.765356,-0.464049,0.498681,17,49
50,-0.590699,-0.749246,0.403837,17,50
51,-0.589668,-0.750813,0.403494,17,51
52,-0.787399,-0.67127,0.052037,17,52
53,-0.794298,-0.682213,0.013908,17,53
54,-0.844562,-0.554347,0.127544,17,54
55,-0.857154,-0.560696,0.083641,17,55
56,-0.704116,-0.498001,0.589965,17,56
57,-0.708509,-0.481289,0.610339,17,57
58,-0.83082,-0.61572,0.046669,17,58
59,-0.837676,-0.606949,0.045821,17,59
0,-0.529434,0.174102,-0.833299,6,0
1,-0.44753,0.172883,-0.894256,6,1
2,-0.526791,0.243484,-0.819914,6,2
3,-0.516902,0.50307,-0.769835,6,3
4,-0.47235,0.188867,-0.87233,6,4
5,-0.380534,0.212616,-0.93511,6,5
6,-0.451838,0.127606,-0.901077,6,6
7,-0.424076,0.044695,-0.939983,6,7
8,-0.511557,0.312421,-0.815957,6,8
9,-0.483415,0.43977,-0.808645,6,9
10,-0.643406,0.168545,-0.750081,6,10
11,-0.698377,0.162399,-0.710709,6,11
12,-0.415471,0.206002,-0.910686,6,12
13,-0.363051,0.221794,-0.946034,6,13
14,-0.541144,0.104688,-0.839974,6,14
15,-0.549009,0.058067,-0.844456,6,15
16,-0.522694,0.378407,-0.793112,6,16
17,-0.53414,0.446219,-0.769635,6,17
18,-0.510708,0.05095,-0.87441,6,18
19,-0.490212,0.014763,-0.897599,6,19
20,-0.591745,0.064408,-0.811389,6,20
21,-0.645826,0.021357,-0.780838,6,21
22,-0.505921,-0.017103,-0.893006,6,22
23,-0.504945,-0.030977,-0.896798,6,23
24,-0.683898,0.211062,-0.710676,6,24
25,-0.767606,0.298957,-0.629214,6,25
26,-0.731626,0.241795,-0.668515,6,26
27,-0.784991,0.276156,-0.621375,6,27
28,-0.510754,0.447798,-0.786613,6,28
29,-0.504156,0.486144,-0.783022,6,29
30,-0.625926,0.003661,-0.799497,6,30
31,-0.638463,-0.018621,-0.795135,6,31
32,-0.705426,0.307287,-0.673444,6,32
33,-0.688472,0.34967,-0.676634,6,33
34,-0.580365,0.259576,-0.77666,6,34
35,-0.593441,0.263504,-0.766103,6,35
36,-0.666134,0.363671,-0.690089,6,36
37,-0.646465,0.391895,-0.698421,6,37
38,-0.681275,0.01283,-0.756458,6,38
39,-0.73463,0.02167,-0.71497,6,39
40,-0.395797,0.122027,-0.943835,6,40
41,-0.356914,0.118156,-0.973501,6,41
42,-0.767246,0.182155,-0.655312,6,42
43,-0.789923,0.144185,-0.646906,6,43
44,-0.575974,0.39546,-0.749863,6,44
45,-0.590467,0.400099,-0.738098,6,45
46,-0.73719,0.019129,-0.713634,6,46
47,-0.756546,0.02131,-0.69881,6,47
48,-0.783456,0.263114,-0.625397,6,48
49,-0.787291,0.264692,-0.622206,6,49
50,-0.551793,-0.06563,-0.869749,6,50
51,-0.582809,-0.09844,-0.854023,6,51
52,-0.834697,0.224232,-0.596029,6,52
53,-0.847527,0.214496,-0.588675,6,53
54,-0.607596,-0.089972,-0.833784,6,54
55,-0.618866,-0.094888,-0.826521,6,55
56,-0.565192,-0.000595,-0.845439,6,56
57,-0.565454,0.000678,-0.844963,6,57
0,0.821665,0.268046,0.507955,5,0
1,0.744767,0.243278,0.670708,5,1
2,0.880207,0.214939,0.428994,5,2
3,0.897641,0.176715,0.419477,5,3
4,0.885197,0.151216,0.459236,5,4
5,0.890095,0.088656,0.488926,5,5
6,0.806611,0.226194,0.562926,5,6
7,0.802319,0.214261,0.578599,5,7
8,0.895849,0.255852,0.373483,5,8
9,0.904121,0.277489,0.344126,5,9
10,0.895777,0.315888,0.336126,5,10
11,0.895666,0.409045,0.278159,5,11
12,0.803299,0.335946,0.500724,5,12
13,0.79416,0.369734,0.497126,5,13
14,0.871766,0.382242,0.340674,5,14
15,0.858836,0.417974,0.343123,5,15
16,0.783144,0.403624,0.497061,5,16
17,0.747678,0.522711,0.490614,5,17
18,0.769184,0.341852,0.562378,5,18
19,0.754857,0.344332,0.588271,5,19
20,0.886491,0.424611,0.286011,5,20
21,0.889102,0.432124,0.276317,5,21
22,0.746155,0.439345,0.545597,5,22
23,0.700748,0.483196,0.60518,5,23
24,0.836226,0.395787,0.400285,5,24
25,0.836031,0.395861,0.400612,5,25
26,0.92211,0.124915,0.404962,5,26
27,0.979238,0.084209,0.320965,5,27
28,0.959177,0.092925,0.353945,5,28
29,0.993301,0.063476,0.306979,5,29
30,0.930713,0.246219,0.312724,5,30
31,0.946086,0.241971,0.285932,5,31
32,0.965035,0.194033,0.279578,5,32
33,0.981644,0.16878,0.263539,5,33
34,0.926739,0.061426,0.435747,5,34
35,0.928545,0.036665,0.447753,5,35
36,0.838297,0.453887,0.360034,5,36
37,0.838555,0.461129,0.355016,5,37
38,0.94135,0.294518,0.262186,5,38
39,0.948476,0.326879,0.228325,5,39
40,0.710555,0.486685,0.584218,5,40
41,0.702543,0.497339,0.592909,5,41
42,0.990465,0.033842,0.330918,5,42
43,0.999725,0.016356,0.324103,5,43
44,0.91793,0.429326,0.222849,5,44
45,0.919819,0.429609,0.219054,5,45
46,0.757525,0.486645,0.49428,5,46
47,0.76421,0.514456,0.464107,5,47
48,0.869435,0.110497,0.514855,5,48
49,0.850034,0.060374,0.58332,5,49
50,0.770704,0.271977,0.603107,5,50
51,0.768859,0.274329,0.605171,5,51
52,0.793679,0.181116,0.615849,5,52
53,0.77358,0.111056,0.698101,5,53
54,0.732869,0.385123,0.604909,5,54
55,0.730545,0.387892,0.607631,5,55
0,-0.44357,-0.649217,0.621902,7,0
1,-0.407344,-0.623239,0.683506,7,1
2,-0.43834,-0.724989,0.535955,7,2
3,-0.353926,-0.836947,0.473786,7,3
4,-0.471834,-0.749318,0.478629,7,4
5,-0.530438,-0.791885,0.378325,7,5
6,-0.414894,-0.791204,0.476805,7,6
7,-0.321668,-0.859782,0.473819,7,7
8,-0.497634,-0.604322,0.629746,7,8
9,-0.605123,-0.515062,0.645342,7,9
10,-0.40103,-0.633805,0.676242,7,10
11,-0.307467,-0.599907,0.795756,7,11
12,-0.532793,-0.715142,0.467861,7,12
13,-0.614351,-0.669418,0.453454,7,13
14,-0.559765,-0.579159,0.607239,7,14
15,-0.641867,-0.545908,0.577496,7,15
16,-0.356487,-0.800004,0.51568,7,16
17,-0.303671,-0.807961,0.550834,7,17
18,-0.314455,-0.784034,0.570254,7,18
19,-0.268907,-0.766729,0.629393,7,19
20,-0.615669,-0.536061,0.611385,7,20
21,-0.664628,-0.498317,0.615015,7,21
22,-0.590509,-0.674289,0.467797,7,22
23,-0.669992,-0.618029,0.467709,7,23
24,-0.509257,-0.554855,0.678918,7,24
25,-0.512742,-0.540022,0.693661,7,25
26,-0.36855,-0.608591,0.733768,7,26
27,-0.318224,-0.569523,0.822899,7,27
28,-0.253338,-0.80127,0.60136,7,28
29,-0.25078,-0.801991,0.602662,7,29
30,-0.559383,-0.745139,0.40961,7,30
31,-0.598806,-0.789613,0.323245,7,31
32,-0.647413,-0.632357,0.469707,7,32
33,-0.683277,-0.605929,0.470911,7,33
34,-0.288782,-0.749203,0.633495,7,34
35,-0.294724,-0.740474,0.638883,7,35
36,-0.572619,-0.784021,0.352051,7,36
37,-0.575712,-0.793108,0.338598,7,37
38,-0.310394,-0.61679,0.773146,7,38
39,-0.29826,-0.618501,0.781363,7,39
40,-0.29914,-0.841363,0.514829,7,40
41,-0.287587,-0.849694,0.514657,7,41
42,-0.355755,-0.845738,0.461756,7,42
43,-0.355664,-0.851414,0.455063,7,43
44,-0.654913,-0.554953,0.55568,7,44
45,-0.657189,-0.556049,0.552451,7,45
46,-0.633819,-0.688844,0.41383,7,46
47,-0.643868,-0.69222,0.401309,7,47
48,-0.339893,-0.667369,0.68789,7,48
49,-0.319285,-0.678682,0.691817,7,49
50,-0.45861,-0.54961,0.727983,7,50
51,-0.44478,-0.548178,0.741382,7,51
52,-0.683602,-0.502714,0.593733,7,52
53,-0.689274,-0.492387,0.601255,7,53
54,-0.693971,-0.574034,0.499909,7,54
55,-0.698222,-0.576111,0.493839,7,55
56,-0.328024,-0.565888,0.818952,7,56
57,-0.333189,-0.550975,0.832371,7,57
58,-0.634622,-0.755219,0.333991,7,58
59,-0.649496,-0.74831,0.329658,7,59
60,-0.559708,-0.647649,0.525604,7,60
61,-0.556544,-0.644913,0.531541,7,61
0,-0.176978,0.834228,-0.527012,14,0
1,-0.145927,0.819138,-0.568576,14,1
2,-0.216099,0.888503,-0.410929,14,2
3,-0.213899,0.938649,-0.321335,14,3
4,-0.201129,0.797442,-0.582361,14,4
5,-0.238223,0.740942,-0.667372,14,5
6,-0.14835,0.908249,-0.406445,14,6
7,0.01386,0.955526,-0.39571,14,7
8,-0.26814,0.776176,-0.589932,14,8
9,-0.39365,0.736346,-0.60411,14,9
10,-0.082793,0.931742,-0.394181,14,10
11,-0.078294,0.933355,-0.393339,14,11
12,-0.279997,0.82716,-0.492349,14,12
13,-0.297539,0.819619,-0.497897,14,13
14,-0.272537,0.897201,-0.369227,14,14
15,-0.376815,0.913271,-0.292175,14,15
16,-0.285434,0.739655,-0.647959,14,16
17,-0.29807,0.712968,-0.690361,14,17
18,-0.251878,0.933901,-0.312426,14,18
19,-0.240421,0.954254,-0.280926,14,19
20,-0.023471,0.925816,-0.432204,14,20
21,0.019131,0.92156,-0.45951,14,21
22,-0.14238,0.790934,-0.621171,14,22
23,-0.047363,0.780408,-0.68394,14,23
24,-0.335452,0.755484,-0.596327,14,24
25,-0.341242,0.753704,-0.596877,14,25
26,-0.221816,0.738791,-0.678813,14,26
27,-0.206904,0.738588,-0.686045,14,27
28,-0.030851,0.890333,-0.49292,14,28
29,-0.035631,0.867353,-0.532242,14,29
30,-0.341507,0.885007,-0.359504,14,30
31,-0.42824,0.869672,-0.347276,14,31
32,-0.346474,0.80499,-0.5018,14,32
33,-0.366103,0.798443,-0.50459,14,33
34,-0.050252,0.968285,-0.343135,14,34
35,-0.008483,1.015189,-0.277616,14,35
36,-0.186717,0.929226,-0.350876,14,36
37,-0.187452,0.929629,-0.34981,14,37
38,-0.400297,0.773058,-0.534716,14,38
39,-0.407344,0.768877,-0.539026,14,39
40,-0.081054,0.992917,-0.284445,14,40
41,-0.086285,0.9971,-0.274478,14,41
42,-0.416732,0.803107,-0.472853,14,42
43,-0.41973,0.808588,-0.461568,14,43
44,-0.002847,0.864501,-0.552489,14,44
45,0.035082,0.829514,-0.633172,14,45
46,-0.316673,0.933052,-0.284126,14,46
47,-0.333872,0.932826,-0.276614,14,47
48,-0.421379,0.836362,-0.410624,14,48
49,-0.421981,0.840671,-0.40256,14,49
50,-0.007868,1.003576,-0.298883,14,50
51,-0.005655,1.005419,-0.296572,14,51
52,-0.079918,0.788555,-0.654229,14,52
53,-0.007928,0.785814,-0.69233,14,53
54,-0.402083,0.889597,-0.323318,14,54
55,-0.412085,0.890355,-0.317343,14,55
56,0.033216,0.842343,-0.609133,14,56
57,0.03844,0.839133,-0.617338,14,57
58,-0.397193,0.728138,-0.617311,14,58
59,-0.400394,0.72672,-0.618399,14,59
60,-0.120554,0.882331,-0.466075,14,60
61,-0.115484,0.877603,-0.476953,14,61
0,-0.780001,-0.622157,0.097568,38,0
1,-0.774283,-0.632965,0.086378,38,1
2,-0.846357,-0.520129,0.134705,38,2
3,-0.903367,-0.444153,0.120302,38,3
4,-0.885742,-0.474438,0.097812,38,4
5,-0.920325,-0.434318,0.065418,38,5
6,-0.867267,-0.514225,0.042354,38,6
7,-0.858204,-0.533743,0.01515,38,7
8,-0.749864,-0.673771,0.059783,38,8
9,-0.713326,-0.736348,0.013974,38,9
10,-0.923296,-0.432885,0.054648,38,10
11,-0.934011,-0.42103,0.042333,38,11
12,-0.951309,-0.38322,0.096465,38,12
13,-0.953604,-0.37915,0.099892,38,13
14,-0.710592,-0.731471,0.048449,38,14
15,-0.704997,-0.73969,0.046834,38,15
16,-0.769138,-0.663833,-0.00752,38,16
17,-0.812801,-0.641321,-0.159984,38,17
18,-0.7303,-0.684152,0.126936,38,18
19,-0.72423,-0.687373,0.14777,38,19
20,-0.837041,-0.515496,0.204646,38,20
21,-0.832617,-0.513295,0.237861,38,21
22,-0.867568,-0.463537,0.241637,38,22
23,-0.892544,-0.421025,0.271903,38,23
24,-0.81708,-0.526485,0.271584,38,24
25,-0.813539,-0.528434,0.283457,38,25
26,-0.88937,-0.499915,-0.023271,38,26
27,-0.902752,-0.491251,-0.063004,38,27
28,-0.86734,-0.543563,-0.074355,38,28
29,-0.854515,-0.568973,-0.104093,38,29
30,-0.850365,-0.581669,-0.131449,38,30
31,-0.848981,-0.584774,-0.136101,38,31
32,-0.805544,-0.525,0.341332,38,32
33,-0.785635,-0.522436,0.46171,38,33
